Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
340,2878,735,0.0,"{323, 296, 297, 10, 140, 76, 302, 56, 186}"
341,2886,636,0.001001119613647461,"{36, 101, 10, 113, 152, 122, 283, 63}"
342,2893,640,0.0,"{296, 10, 330, 335, 273, 56, 93}"
343,2905,607,0.0,"{7, 10, 138, 300, 234, 268, 119, 62}"
344,2919,673,0.0,"{224, 10, 138, 176, 177, 242, 24, 94, 283, 30}"
345,2927,664,0.0,"{5, 166, 201, 10, 138, 172, 82, 311, 90}"
346,2935,716,0.0,"{164, 10, 145, 152, 219, 127, 317, 63}"
347,2943,647,0.0,"{96, 10, 76, 273, 209, 152, 317}"
348,2957,624,0.0,"{96, 1, 135, 10, 106, 270, 240, 311, 56}"
349,2965,725,0.0,"{10, 138, 77, 110, 242, 214, 56, 217}"
350,2974,620,0.0,"{128, 201, 10, 237, 269, 112, 278, 127}"
351,2984,617,0.0,"{160, 166, 230, 10, 138, 239, 112, 56}"
352,2996,761,0.0,"{70, 10, 77, 272, 179, 149, 119, 56, 283}"
353,3004,666,0.0,"{10, 77, 335, 273, 242, 149, 56, 282}"
354,3016,662,0.0,"{130, 344, 10, 237, 50, 278, 119, 56, 88}"
355,3024,591,0.0,"{162, 10, 77, 146, 180, 119, 56, 222}"
356,3034,692,0.0,"{166, 10, 139, 172, 56, 63, 30, 191}"
357,3040,584,0.0,"{323, 10, 106, 56, 314, 127}"
358,3054,623,0.0,"{10, 273, 119, 152, 250, 123, 311, 184}"
359,3064,646,0.0,"{201, 10, 77, 237, 79, 58, 187, 252}"
360,3074,697,0.0,"{230, 137, 10, 138, 172, 13, 221, 317}"
361,3084,738,0.0,"{225, 296, 59, 10, 341, 152, 283, 127}"
362,3095,686,0.0,"{323, 10, 79, 340, 55, 56, 186, 59, 127}"
363,3103,692,0.0,"{100, 296, 361, 10, 300, 332, 148, 56}"
364,3109,589,0.0,"{10, 300, 83, 119, 56, 152}"
365,3121,635,0.0,"{296, 10, 208, 112, 119, 152, 185}"
366,3135,757,0.0009999275207519531,"{99, 7, 199, 201, 10, 300, 56, 152, 319}"
367,3141,674,0.0,"{201, 10, 300, 335, 272, 273, 56}"
368,3153,679,0.0,"{165, 10, 138, 237, 302, 185, 348, 63}"
369,3161,647,0.0,"{10, 13, 273, 242, 245, 56, 152}"
370,3173,693,0.0,"{10, 300, 77, 369, 150, 25, 221, 191}"
371,3185,635,0.0,"{68, 101, 201, 10, 361, 74, 209, 56, 345}"
372,3197,749,0.0,"{100, 201, 10, 41, 302, 242, 370, 82, 119, 286}"
373,3203,642,0.0,"{323, 10, 339, 211, 119, 152, 120, 191}"
374,3213,712,0.0,"{166, 201, 10, 171, 364, 237, 176, 119}"
375,3221,622,0.0,"{162, 323, 37, 10, 76, 77, 56}"
376,3231,629,0.0,"{358, 296, 10, 108, 242, 56, 152}"
377,3243,728,0.0,"{323, 6, 296, 361, 10, 176, 177, 56}"
378,3255,710,0.0,"{376, 132, 136, 10, 171, 239, 342, 56, 152}"
379,3261,623,0.0,"{200, 201, 10, 300, 341, 247, 56}"
380,3277,802,0.0,"{361, 10, 138, 298, 170, 50, 213, 119, 121, 191}"
381,3283,713,0.0,"{352, 361, 10, 300, 76, 152, 283, 351}"
382,3291,606,0.0,"{354, 201, 10, 237, 302, 15, 273}"
383,3301,630,0.0,"{198, 230, 10, 112, 56, 378, 127}"
384,3313,726,0.0,"{10, 139, 76, 77, 119, 216, 25, 127}"
385,3327,674,0.0009992122650146484,"{192, 101, 10, 302, 273, 61, 212, 85, 56, 317}"
386,3333,629,0.0,"{258, 292, 10, 206, 307, 86, 119, 56}"
387,3341,625,0.0,"{323, 7, 10, 80, 56, 152, 216}"
388,3355,773,0.0,"{288, 296, 200, 10, 302, 335, 152, 189, 127}"
389,3365,718,0.0,"{100, 40, 10, 77, 80, 117, 87, 119, 56}"
390,3375,687,0.0,"{289, 38, 296, 10, 106, 173, 369, 371, 119}"
391,3385,714,0.0009980201721191406,"{197, 198, 10, 118, 56, 313, 314, 286, 127}"
392,3393,718,0.0,"{201, 10, 138, 77, 334, 242, 214, 252}"
393,3404,697,0.0,"{6, 200, 201, 10, 136, 335, 56, 152}"
394,3416,589,0.0,"{293, 201, 10, 107, 140, 152, 315, 253, 184}"
395,3424,642,0.0,"{296, 10, 75, 273, 119, 56, 313, 29}"
396,3436,725,0.0,"{130, 100, 201, 10, 106, 138, 171, 302, 375}"
397,3442,622,0.0009996891021728516,"{296, 10, 113, 152, 123, 62, 191}"
398,3454,630,0.0010004043579101562,"{134, 201, 10, 361, 116, 152, 283, 191}"
399,3468,732,0.0,"{96, 225, 68, 390, 10, 77, 398, 273, 153, 93}"
